"CE ID","Entity Type Code","Entity Name","Address 1","Address 2","City","State","Zip"
"384","FP","GARRETT COUNTY HEALTH DEPARTMENT","1025 MEMORIAL DR",,"OAKLAND","MD","21550"
"386","FP","WESTERN WYOMING FAMILY HEALTH","617 WEST PINE ST",,"RAWLINS","WY","82301"
"390","FP","WOODRUFF COUNTY HEALTH UNIT","623 N 9TH ST",,"AUGUSTA","AR","72006"
"392","FP","CHIPPEWA COUNTY HEALTH DEPARTMENT","508 ASHMUN ST","SUITE 120","SAULT STE MARIE","MI","49783"
"397","FP","SANTA FE PUBLIC HEALTH OFFICE","605 LETRADO ST STE B",,"SANTA FE","NM","87505"
"408","FP","PLANNED PARENTHOOD LOS ANGELES","916 WEST BURBANK BLVD","SUITE  M","BURBANK","CA","91506"
"409","FP","ORANGE COUNTY HEALTH DEPARTMENT","6101 LAKE ELLENOE DR.",,"ORLANDO","FL","32809"
"413","FP","HARLAN COUNTY HEALTH DEPARTMENT - HARLAN CLINIC","402 EAST CLOVER STREET",,"HARLAN","KY","40831"
"418","FP","RICHMOND CITY HEALTH DISTRICT","1010 N THOMPSON ST",,"RICHMOND","VA","23230"
"425","FP","TAYLOR COUNTY HEALTH DEPARTMENT","1215 NORTH PEACOCK AVE",,"PERRY","FL","32347"
"426","FP","LEE COUNTY HEALTH DEPARTMENT","309 S GALENA AVE","SUITE 100","DIXON","IL","61021"
"429","FP","WILMINGTON COMMUNITY CLINIC","1009 N AVALON BLVD",,"WILMINGTON","CA","90744"
"444","FP","PLANNED PARENTHOOD SHASTA DIABLO, INC/DBA PLANNED PARENTHOOD SHASTA PACIFIC","200 PORTER DRIVE","SUITE 200","SAN RAMON","CA","94583"
"447","FP","OLIVE STREET CLINIC","244 SOUTH OLIVE STREET",,"SOUTH BEND","IN","46619"
"476","FP","PLANNED PARENTHOOD South Atlantic","3000 MAPLEWOOD AVE",,"WINSTON-SALEM","NC","27103"
"510","FP","CRAWFORD COUNTY HEALTH DEPARTMENT","410 E ATKINSON",,"PITTSBURG","KS","66762"
"522","FP","CUMBERLAND COUNTY HEALTH DEPARTMENT","1503 South Main Street",,"Crossville","TN","38555"
"525","FP","NORTHEAST TRI COUNTY HEALTH DISTRICT","147 NORTH CLARK AVENUE",,"REPUBLIC","WA","99166"
"530","FP","Planned Parenthood of the Great Northwest and the Hawaiian Islands","1020 WEST MAIN ST",,"CENTRALIA","WA","98531"
"540","FP","MAGEE MT OLIVER","1630 ARLINGTON AVE","ROESCH TAYLOR BLDG","PITTSBURGH","PA","15210"
"551","FP","OUACHITA PHU","1650 DESIARD STREET",,"MONROE","LA","71201"
"556","FP","MIDDLETOWN HEALTH CENTER","200 JUNEAU DRIVE",,"LOUISVILLE","KY","40243"
"560","FP","DELTA HEALTH CARE","1425 SOUTH CENTER ST",,"STOCKTON","CA","95206"
"564","FP","DICKENSON COUNTY HEALTH DEPARTMENT","334 BRUSH CREEK RD",,"CLINTWOOD","VA","24228"
"575","FP","ALLEN BERRY HEALTH CENTER","202 PRAIRE AVE",,"PROVIDENCE","RI","02907"
"576","FP","PLANNED PARENTHOOD South Atlantic","1704 BATTLEGROUND AVE",,"GREENSBORO","NC","27408"
"583","FP","MULTNOMAH CO HEALTH DEPT","MARSHALL HIGH SCHOOL","3905 SE 91ST AVE","PORTLAND","OR","97266"
"612","FP","ADAGIO HEALTH  NEW CASTLE","200 South Jefferson St.",,"NEW CASTLE","PA","16101"
"619","FP","PLANNED PARENTHOOD OF SOUTHERN NJ","8008 Rt. 130 N.","Building B Suite 305","Delran","NJ","08075"
"645","FP","PLANNED PARENTHOOD HUDSON PECONIC, INC","755 NEW YORK AVENUE","SUITE 333","HUNTINGTON","NY","11743"
"647","FP","CALDWELL COUNTY HEALTH DEPARTMENT","2345 MORGANTON BLVD. SW, STE.B",,"LENOIR","NC","28645"
"648","FP","POPE COUNTY HEALTH UNIT","203 WEIR ROAD",,"RUSSELLVILLE","AR","72802"
"666","FP","ALAMOSA PUBLIC HEALTH OFFICE","6900 GONZALES SW",,"ALBUQUERQUE","NM","87105"
"667","FP","PLANNED PARENTHOOD MAR MONTE","1125 10TH ST (AT L)",,"SACRAMENTO","CA","95814"
"676","FP","INGHAM COUNTY HEALTH DEPARTMENT","5303 S CEDAR ST",,"LANSING","MI","48909"
"682","FP","MONROE COUNTY HEALTH UNIT","306 W KING DR",,"BRINKLEY","AR","72021"
"686","FP","COMMUNITY HEALTH AGENCY - COUNTY OF RIVERSIDE","505 SOUTH BUENA VISTA",,"CORONA","CA","92882"
"716","FP","CLAY COUNTY HEALTH DEPARTMENT","3229 BEAR RUN BLVD BLDG A",,"ORANGE PARK","FL","32065"
"724","FP","VNA Health Care","620 WING ST",,"ELGIN","IL","60123"
"739","FP","UNIVERSITY MEDICAL CENTER OF EL PASO - WOMEN'S HEALTH CENTERS (FORMALLY R.E. THOMASON HOSPITAL)","4824 ALBERTA ST","SUITE 403","EL PASO","TX","79905"
"744","FP","UPPER MISSOURI DISTRICT HEALTH UNIT","110 WEST BROADWAY, SUITE 101",,"WILLISTON","ND","58801"
"754","FP","Planned Parenthood of Greater Ohio","1005 E. STATE STREET","SUITE W","ATHENS","OH","45701"
"766","FP","JEFFERSON COUNTY DEPARTMENT OF HEALTH","2201 ARLINGTON AVE",,"BESSEMER","AL","35020"
"767","FP","SOUTHWEST DISTRICT HEALTH","1155 3RD AVE N",,"PAYETTE","ID","83661"
"768","FP","LIMESTONE COUNTY HEALTH DEPARTMENT","20371 CLYDE MABRY DRIVE",,"ATHENS","AL","35611"
"793","FP","LAUDERDALE COUNTY HEALTH DEPARTMENT","500 Highway 51, South",,"Ripley","TN","38063"
"798","FP","LAUDERDALE COUNTY HEALTH DEPARTMENT","5224 VALLEY STREET",,"MERIDIAN","MS","39304"
"813","FP","PLANNED PARENTHOOD OF GREATER WASHINGTON & NORTH IDAHO","123 EAST INDIANA","SUITE 100","SPOKANE","WA","99207"
"823","FP","NORTHEAST COMMUNITY ACTION AGENCY","3400 MEADOW POINTE DRIVE",,"O'FALLON","MO","63366"
"830","FP","COPIAH COUNTY HEALTH DEPARTMENT","640 GEORGETOWN STREET",,"HAZELHURST","MS","39083"
"840","FP","CA FAMILY HEALTH COUNCIL, INC","3600 WILSHIRE BLVD  STE 600",,"LOS ANGELES","CA","90010"
"841","FP","FAMILY HEALTH CENTERS OF SAN DIEGO, INC.","3705 MISSION BOULEVARD",,"SAN DIEGO","CA","92109"
"845","FP","Family Planning of South Central New York, Inc.","5 CORTLAND ST.",,"NORWICH","NY","13815"
"849","FP","NICHOLAS COUNTY HEALTH DEPARTMENT","2320 CONCRETE ROAD",,"CARLISLE","KY","40311"
"866","FP","OSWEGO COUNTY OPPORTUNITIES INC.","522 S 4TH STREET","SUITE 500","FULTON","NY","13069"
"870","FP","PLANNED PARENTHOOD MINNESOTA, NORTH DAKOTA, SOUTH DAKOTA","1200 LAGOON AVENUE",,"MINNEAPOLIS","MN","55408"
"880","FP","University Physicians and Surgeons Dept OB/GYN","1600 MEDICAL CENTER DR","SUITE 4500","HUNTINGTON","WV","25701"
"900","FP","RIVERSIDE HEALTH CENTER","1 WARRIOR WAY, suite 103",,"BELLE","WV","25015"
"902","FP","LANE COUNTY HEALTH AND HUMAN SERVICES","2073 Olympic Street",,"SPRINGFIELD","OR","97477"
"906","FP","AUNT MARTHA'S HEALTHCARE NETWORK","614 N GILBERT",,"DANVILLE","IL","61832"
"909","FP","OKLAHOMA CITY COUNTY HEALTH DEPARTMENT","4330 NW 10TH ST",,"OKLAHOMA CITY","OK","73107"
"916","FP","BREAD FOR THE CITY","1525 7TH NW ST",,"WASHINGTON","DC","20001"
"919","FP","NORTH SHORE/LONG ISLAND JEWISH HEALTH SYSTEM","410 LAKEVILLE ROAD",,"NEW HYDE PARK","NY","11040"
"920","FP","SUSSEX COUNTY HEALTH DEPARTMENT","20103 PRINCETON RD",,"SUSSEX","VA","23884"
"935","FP","SC DHEC Lowcountry Region Charleston Co Charleston Center FP","3 Charleston Center Dr",,"Charleston","SC","29401"
"938","FP","NASSAU COUNTY HEALTH DEPARTMENT","1620 NECTARINE ST.",,"FERNANDINA BEACH","FL","32034"
"946","FP","SHENANDOAH COUNTY HEALTH DEPARTMENT","494 NORTH MAIN ST","SUITE 100","WOODSTOCK","VA","22664"
"995","FP","EASTERN IDAHO PUBLIC HEALTH DISTRICT","1050 NORTH CLINIC ROAD, SUITE A",,"CHALLIS","ID","83226"
"1002","FP","PAGE COUNTY HEALTH DEPARTMENT","75 COURT LANE",,"LURAY","VA","22835"
"1004","FP","PLYMOUTH FAMILY PLANNING","123-1 CAMELOT DRIVE",,"PLYMOUTH","MA","02360"
"1005","FP","PEARL RIVER COUNTY HEALTH DEPARTMENT","7547 HWY 11 N",,"CARRIERE","MS","39426"
"1009","FP","ST GEORGE MEDICAL CLINIC INC","8591 Holly Meadows Road",,"Parsons","WV","26287"
"1011","FP","HOLMES COUNTY HEALTH DEPARTMENT","22545 DEPOT STREET",,"LEXINGTON","MS","39095"
"1015","FP","WESTERN UP DISTRICT HEALTH DEPT","303 BARAGA AVE",,"L'ANSE","MI","49946"
"1025","FP","FRANKLIN COUNTY HEALTH DEPARTMENT","100 GLENNS CREEK ROAD",,"FRANKFORT","KY","40601"
"1030","FP","MISSION CITY COMMUNITY NETWORK, INC.","15206 PARTHENIA STREET",,"NORTH HILLS","CA","91343"
"1036","FP","KALEIDA HEALTH","1313 Main Street",,"BUFFALO","NY","14209"
"1042","FP","UNION COUNTY HEALTH DEPARTMENT","4335 Maynardville Hwy",,"Maynardville","TN","37807"
"1080","FP","SUMNER COUNTY HEALTH DEPARTMENT - PORTLAND","214 West Longview Drive",,"Portland","TN","37148"
"1085","FP","CHILDREN'S HOSPITAL ADOLESCENT CLINIC-CARE BY THE CHILDREN'S HOSPITAL AT LUTHERAN","3455 Lutheran Pkwy","Suite 230","Wheat Ridge","CO","80033"
"1086","FP","RICHMOND CITY HEALTH DISTRICT","400 EAST CARY STREET",,"RICHMOND","VA","23219"
"1088","FP","BLOOMFIELD/GARFIELD FAMILY HEALTH CENTER","5475 PENN AVENUE",,"PITTSBURGH","PA","15206"
"1099","FP","MORGAN COUNTY HEALTH DEPARTMENT","493 RIVERSIDE DRIVE",,"WEST LIBERTY","KY","41472"
"1102","FP","VOLUSIA COUNTY HEALTH DEPARTMENT","1845 HOLSONBACK DRIVE","BIN 105","DAYTONA BEACH","FL","32117"
"1116","FP","PACE HEALTH CONNECTION - VINCENNES","715 WABASH STREET",,"VINCENNES","IN","47591"
"1118","FP","NORTH CENTRAL DISTRICT HEALTH DEPARTMENT","1020 HENRY CLAY STREET",,"SHELBYVILLE","KY","40065"
"1131","FP","BARTON MEMORIAL HOSPITAL COMMUNITY CLINIC","2201 SOUTH AVENUE",,"SOUTH LAKE TAHOE","CA","96150"
"1138","FP","WYOMING COUNTY HEALTH DEPARTMENT","44 Cedar Street",,"PINEVILLE","WV","24874"
"1140","FP","Planned Parenthood of Central & Greater Northern New Jersey","2000 PENNINGTON RD",,"EWING","NJ","08618"
"1144","FP","PALM BEACH COUNTY HEALTH DEPARTMENT","931 VILLAGE BLVD.","SUITE 904","WEST PALM BEACH","FL","33409"
"1154","FP","SC DHEC Lowcountry Region Colleton Co Walterboro FP","219 S Lemacks St",,"Walterboro","SC","29488"
"1164","FP","LAWRENCE COUNTY HEALTH DEPARTMENT","2379 Buffalo Road",,"Lawrenceburg","TN","38464"
"1169","FP","RANDOLPH ELKINS HEALTH DEPARTMENT","32 RANDOLPH AVENUE","SUITE 101","ELKINS","WV","26241"
"1175","FP","ALBEMARLE REGIONAL HEALTH SERVICES","711 ROANOKE AVENUE",,"ELIZABETH CITY","NC","27909"
"1187","FP","SC DHEC Pee Dee Region Sumter Co FP","105 N Magnolia St",,"Sumter","SC","29150"
"1188","FP","PLANNED PARENTHOOD OF THE NORTH COUNTRY NEW YORK, INC.","246 WEST MAIN ST","SUITE 1","MALONE","NY","12953"
"1191","FP","PUBLIC HEALTH MANAGEMENT CORPORATION","4910 WYLUSING AVE",,"PHILADELPHIA","PA","19131"
"1195","FP","OPEN DOOR Health Services","905 South Walnut St",,"MUNCIE","IN","47302"
"1206","FP","FIRST NATIONS COMMUNITY HEALTH SOURCE","5608 ZUNI ROAD SE",,"ALBUQUERQUE","NM","87108"
"1207","FP","DESCHUTES CO HEALTH DEPT","DESCHUTES COUNTY HEALTH SERVICES LA PINE","51605 Coach","LAPINE","OR","97739"
"1218","FP","PERRY COUNTY HEALTH UNIT","1039 NORTH FOURCHE AVE",,"PERRYVILLE","AR","72126"
"1227","FP","GRANT COUNTY HEALTH DEPARTMENT","739 North Fork Highway",,"PETERSBURG","WV","26847"
"1235","FP","PLANNED PARENTHOOD OF WESTERN PENNSYLVANIA, INC.","118 SOUTH KIMBERLY AVENUE","SUITE 201","SOMERSET","PA","15501"
"1237","FP","NANTUCKET FAMILY PLANNING","20 VESPER LANE #3","GOUIN VILLAGE","NANTUCKET","MA","02554"
"1241","FP","TELLER COUNTY PUBLIC HEALTH DEPARTMENT","Aspen Mine Center","166 E. Bennett Ave","CRIPPLE CREEK","CO","80813"
"1244","FP","ORANGE COUNTY HEALTH DEPARTMENT","5151 RALEIGH ST",,"ORLANDO","FL","32811"
"1256","FP","LONGVIEW WELLNESS CENTER, INC.","1711 S. HENDERSON BLVD.","SUITE 400","KILGORE","TX","75662"
"1258","FP","NORTHEAST COMMUNITY ACTION AGENCY","120 EAST MAIN ST",,"WARRENTON","MO","63383"
"1261","FP","FAMILY PLANNING ASSOCIATION OF ALLEGAN","3255 122ND ST.",,"ALLEGAN","MI","49010"
"1271","FP","PLANNED PARENTHOOD OF NORTHERN NEW ENGLAND","194 NORTH STREET",,"BENNINGTON","VT","05201"
"1272","FP","WEDCO DISTRICT HEALTH DEPARTMENT","302 ODDVILLE AVE",,"CYNTHIANA","KY","41031"
"1273","FP","LINCOLN COUNTY HEALTH DEPARTMENT","114 W COURT ST",,"LINCOLN","KS","67455"
"1282","FP","CITY OF CASPER-NATRONA COUNTY HEALTH DEPARTMENT","475 SOUTH SPRUCE",,"CASPER","WY","82601"
"1302","FP","EASTERN IDAHO PUBLIC HEALTH DISTRICT","380 COMMUNITY LANE",,"RIGBY","ID","83442"
"1319","FP","SOUTH DAKOTA DEPARTMENT OF HEALTH","South Dakota Department of Health","600 E. CAPITOL","PIERRE","SD","57501"
"1339","FP","LIVINGSTON COUNTY HEALTH DEPARTMENT","3 CHESTNUT AVE",,"DANSVILLE","NY","14437"
"1361","FP","PLANNED PARENTHOOD MID AND SOUTH MICHIGAN","29350 VAN DYKE",,"WARREN","MI","48093"
"1363","FP","YOUNG PARENTS PROGRAM","Kentucky Clinic, c/o Adolescent Medicine, 4th Floor","740 SOUTH LIMESTONE STREET","LEXINGTON","KY","40536"
"1364","FP","BARBOUR COUNTY HEALTH DEPARTMENT","634 SCHOOL ST",,"EUFAULA","AL","36027"
"1386","FP","YALOBUSHA COUNTY HEALTH DEPARTMENT","645 SOUTH MAIN STREET",,"WATER VALLEY","MS","38965"
"1414","FP","CAROLINE COUNTY HEALTH DEPARTMENT","403 SOUTH 7TH ST",,"DENTON","MD","21629"
"1419","FP","PLANNED PARENTHOOD OF NORTHERN NEW ENGLAND","4 BIRCH ST",,"DERRY","NH","03038"
"1421","FP","HINDS COUNTY HEALTH DEPARTMENT","350 WEST WOODROW WILSON",,"JACKSON","MS","39215"
"1426","FP","CHEROKEE COUNTY HEALTH DEPARTMENT","833 CEDAR BLUFF RD",,"CENTRE","AL","35960"
"1431","FP","NORFOLK HEALTH DEPARTMENT","606 WEST 29TH ST",,"NORFOLK","VA","23504"
"1434","FP","LAS CLINICAS DEL NORTE","HIGHWAY 285, BUILDING 35282",,"OJO CALIENTE","NM","87549"
"1440","FP","DEKALB COUNTY HEALTH DEPARTMENT","2550 N ANNIE GLIDDEN RD",,"DEKALB","IL","60115"
"1441","FP","DEPARTMENT OF HEALTH IN FLAGLER COUNTY","301 DR. CARTER BOULEVARD",,"BUNNELL","FL","32110"
"1444","FP","RHC MONROE NOXEN MED CTR","2888 State Route 29 South",,"NOXEN","PA","18636"
"1451","FP","MID MICHIGAN DISTRICT HEALTH DEPARTMENT","615 N STATE RD","SUITE 2","STANTON","MI","48888"
"1455","FP","ACCOMACK COUNTY HEALTH DEPARTMENT","23191 FRONT ST",,"ACCOMAC","VA","23301"
"1456","FP","Reproductive Healthcare OF THE BIG HORNS","128 SOUTH THURMOND ST",,"SHERIDAN","WY","82801"
"1465","FP","WOMEN'S HEALTH SERVICES","2635 LINCOLN WAY, SUITE A",,"CLINTON","IA","52732"
"1467","FP","SOUTHERN SEVEN HEALTH DEPT","3014 ELM ST",,"CAIRO","IL","62914"
"1473","FP","PLANNED PARENTHOOD Keystone","29 N. NINTH STREET",,"ALLENTOWN","PA","18101"
"1486","FP","CALHOUN COUNTY HEALTH DEPARTMENT","235 SOUTH MURPHREE STREET",,"PITTSBORO","MS","38951"
"1496","FP","CAMBRIDGE-GUERNSEY COUNTY HEALTH DEPARTMENT","326 HIGHLAND AVENUE",,"CAMBRIDGE","OH","43725"
"1510","FP","Family Planning Association of Maine","9 Marston St",,"NORWAY","ME","04268"
"1554","FP","WINNEBAGO COUNTY HEALTH DEPARTMENT","555 N.COURT ST.",,"ROCKFORD","IL","61103"
"1562","FP","WINN PHU","301 WEST MAIN ST",,"WINNFIELD","LA","71483"
"1566","FP","GRAVES COUNTY HEALTH DEPARTMENT","416 CENTRAL AVENUE",,"MAYFIELD","KY","42066"
"1570","FP","PLANNED PARENTHOOD OF THE HEARTLAND","2530 CHAMBERLAIN ST",,"AMES","IA","50014"
"1578","FP","UPPER HUDSON PLANNED PARENTHOOD","200 BROADWAY",,"TROY","NY","12180"
"1585","FP","STAFFORD COUNTY HEALTH DEPARTMENT","1300 COURTHOUSE ROAD",,"STAFFORD","VA","22555"
"1605","FP","MARION COUNTY HEALTH DEPARTMENT","24 East 7th Street",,"Jasper","TN","37347"
"1612","FP","VNA Health Care","400 NORTH HIGHLAND AVE",,"AURORA","IL","60506"
"1623","FP","PLANNED PARENTHOOD SHASTA DIABLO, INC/DBA PLANNED PARENTHOOD SHASTA PACIFIC","2 H STREET",,"SAN RAFAEL","CA","94901"
"1642","FP","MT BAKER PLANNED PARENTHOOD","1509 Cornwall Avenue",,"BELLINGHAM","WA","98225"
"1644","FP","HENRY COUNTY HEALTH DEPARTMENT","75 Park Road",,"NEW CASTLE","KY","40050"
"1653","FP","LOVINGTON PUBLIC HEALTH OFFICE","302 N FIFTH ST",,"LOVINGTON","NM","88260"
"1656","FP","PLANNED PARENTHOOD OF THE PACIFIC SOUTHWEST","4575 COLLEGE AVE",,"SAN DIEGO","CA","92115"
"1658","FP","MARENGO COUNTY HEALTH DEPARTMENT","303 INDUSTRIAL DR",,"LINDEN","AL","36748"
"1659","FP","PRESTON COUNTY HEALTH DEPARTMENT","106 WEST MAIN ST","SUITE 203","KINGWOOD","WV","26537"
"1663","FP","PEOPLES HEALTH CENTER FAMILY PLANNING CLINIC","2340 EAST 10TH ST",,"INDIANAPOLIS","IN","46201"
"1673","FP","KACHEMAK BAY FAMILY PLANNING CLINIC","3959 BEN WALTERS LANE",,"HOMER","AK","99603"
"1678","FP","TRI-CAP FAMILY HEALTH SERVICES - JASPER","607 THIRD AVENUE",,"JASPER","IN","47547"
"1686","FP","Planned Parenthood of Greater Ohio","200 W. 9TH STREET",,"LORAIN","OH","44052"
"1689","FP","UNION COUNTY HEALTH DEPARTMENT","495 E MAIN ST",,"LAKE BUTLER","FL","32054"
"1702","FP","PULASKI COUNTY HEALTH UNIT","3000 N 1ST",,"JACKSONVILLE","AR","72076"
"1703","FP","OSWEGO COUNTY OPPORTUNITIES INC.","SUNY OSWEGO",,"OSWEGO","NY","13126"
"1708","FP","PLANNED PARENTHOOD San Antonio","120 WEST ASHBY",,"SAN ANTONIO","TX","78212"
"1711","FP","DISTRICT HEALTH DEPARTMENT NO 10","916 DIANA STREET",,"LUDINGTON","MI","49431"
"1714","FP","MFHS A CIRCLE OF CARE","640 MADISON AVENUE",,"SCRANTON","PA","18510"
"1718","FP","VERNON PHU","406 W FERTITTA BLVD",,"LEESVILLE","LA","71446"
"1742","FP","Public Health - Idaho North Central District","105 115TH STREET",,"OROFINO","ID","83544"
"1746","FP","KENTUCKY RIVER DISTRICT HEALTH DEPARTMENT","441 GORMAN HOLLOW ROAD",,"HAZARD","KY","41701"
"1762","FP","St. Luke's Family Health Center","600 First St. West",,"Mount Vernon","IA","52314"
"1764","FP","PLANNED PARENTHOOD OF THE PACIFIC SOUTHWEST","71777 SAN JACINTO DR, STE 202",,"RANCHO MIRAGE","CA","92270"
"1786","FP","PLANNED PARENTHOOD OF METROPOLITAN NEW JERSEY (PPMNJ)","680 BROADWAY",,"PATERSON","NJ","07514"
"1789","FP","VENICE HEALTH CENTER","905 VENICE BLVD",,"VENICE","CA","90291"
"1824","FP","CATTARAUGUS COUNTY HEALTH DEPARTMENT","9824 ROUTE 16",,"MACHIAS","NY","14101"
"1839","FP","SC DHEC Pee Dee Region Lee Co Bishopville FP","810 Brown St",,"Bishopville","SC","29010"
"1842","FP","Stoddard County Public Health Center","406 HWY. 61",,"NEW MADRID","MO","63869"
"1859","FP","CADDO PHU","1035 CRESWELL AVE",,"SHREVEPORT","LA","71101"
"1865","FP","LYNCHBURG HEALTH DEPARTMENT","1900 THOMSON DR",,"LYNCHBURG","VA","24501"
"1870","FP","MINGO COUNTY HEALTH DEPARTMENT","FIRST AVENUE AND LOGAN ST",,"WILLIAMSON","WV","25661"
"1871","FP","COMMUNITY HEALTHCARE NETWORK","999 BLAKE AVE",,"BROOKLYN","NY","11208"
"1884","FP","POINSETT COUNTY HEALTH UNIT","1204 WEST MAIN STREET",,"TRUMANN","AR","72472"
"1889","FP","WHITE COUNTY HEALTH UNIT","306 GUM ST",,"BEEBE","AR","72012"
"1908","FP","ERIE COUNTY GENERAL HEALTH DEPARTMENT","420 SUPERIOR ST",,"SANDUSKY","OH","44870"
"1912","FP","CLAY COUNTY HEALTH DEPARTMENT","86892 HWY 9 HWY",,"LINEVILLE","AL","36266"
